1;0,19;;;63;12,18;;;;;27;5,22;3;0,58;;;;;;;52;10,05;26;5,02;;;2;0,38;;;71;13,73;21;4,06;7;1,35;15;2,9;36;6,96;5;0,96;;;188;36,36
1;0,18;1;0,18;98;17,94;;;2;0,36;16;2,93;3;0,54;;;;;;;51;9,34;21;3,84;1;0,18;;;;;99;18,13;29;5,31;6;1,09;14;2,56;46;8,42;6;1,09;;;152;27,83
;;;;60;12,76;1;0,21;;;22;4,68;10;2,12;;;;;;;53;11,27;22;4,68;;;2;0,42;1;0,21;76;16,17;29;6,17;9;1,91;13;2,76;39;8,29;2;0,42;1;0,21;130;27,65
1;0,20;;;62;12,86;1;0,2;4;0,82;24;4,97;5;1,03;;;;;;;49;10,16;27;5,6;1;0,2;;;1;0,2;130;26,97;21;4,35;3;0,62;14;2,9;21;4,35;4;0,82;2;0,41;112;23,23
1;0,09;;;146;13,98;1;0,09;3;0,28;53;5,07;9;0,86;;;;;;;84;8,04;64;6,13;1;0,09;1;0,09;3;0,28;194;18,58;50;4,78;11;1,05;20;1,91;69;6,6;7;0,67;;;327;31,32
;;;;122;15,06;;;;;44;5,43;8;0,98;1;0,12;;;;;81;10;50;6,17;1;0,12;2;0,24;2;0,24;119;14,69;28;3,45;17;2,09;22;2,71;50;6,17;3;0,37;2;0,24;258;31,85
1;0,14;1;0,14;76;10,73;;;;;38;5,36;4;0,56;1;0,14;;;;;60;8,47;55;7,76;;;1;0,14;3;0,42;118;16,66;39;5,5;5;0,7;21;2,96;57;8,05;2;0,28;3;0,42;223;31,49
1;0,11;;;120;14,33;;;1;0,11;39;4,65;9;1,07;3;0,35;1;0,11;;;64;7,64;41;4,89;1;0,11;3;0,35;1;0,11;170;20,31;29;3,46;12;1,43;25;2,98;70;8,36;;;1;0,11;246;29,39
3;0,50;1;0,16;75;12,64;1;0,16;2;0,33;43;7,25;3;0,5;;;1;0,16;1;0,16;49;8,26;32;5,39;;;3;0,5;7;1,18;105;17,7;24;4,04;12;2,02;32;5,39;40;6,74;4;0,67;;;155;26,13
2;0,24;;;108;13,34;;;;;48;5,93;4;0,49;;;;;1;0,12;67;8,28;49;6,05;3;0,37;4;0,49;1;0,12;145;17,92;24;2,96;16;1,97;19;2,34;47;5,8;2;0,24;;;269;33,25
1;0,22;;;41;9,38;;;2;0,45;21;4,8;5;1,14;5;1,14;2;0,45;2;0,45;49;11,21;22;5,03;;;3;0,68;3;0,68;88;20,13;14;3,2;3;0,68;11;2,51;24;5,49;2;0,45;;;139;31,8
2;0,32;;;89;14,51;2;0,32;;;29;4,73;3;0,48;;;;;;;61;9,95;26;4,24;3;0,48;2;0,32;1;0,16;179;29,2;41;6,68;13;2,12;17;2,77;30;4,89;5;0,81;1;0,16;109;17,78
